step,x,y,z
0,1.0,1.0,1.0
1,1.0,1.26,0.9833333333333333
2,1.026,1.5175666666666667,0.9697111111111111
3,1.0751566666666668,1.779721764,0.9594223821481481
4,1.1456131764000002,2.0526531193235087,0.9529725824846278
5,1.236317170692351,2.3419808980498504,0.9510754448857934
6,1.346883543428101,2.6529715878318485,0.9546677449990975
7,1.4774923478684758,2.990711001361589,0.9649423761941186
8,1.6288142132177872,3.360244798981538,0.9833981056875869
9,1.8019572717941623,3.766692602574749,1.0119063010873073
10,1.998430804872221,4.215339593475181,1.0527963243165408
11,2.220121683732517,4.711707416846947,1.1089624006340832
12,2.4692802570439603,5.261604099402664,1.18399570798596
13,2.748512641279831,5.871150358119401,1.2823462403367
14,3.0607764129637878,6.546776945575929,1.4095196503758458
15,3.4093764662250017,7.295184326755237,1.5723146642586958
16,3.7979572522780254,8.123251767892445,1.779106570815925
17,4.230486703839468,9.037877573819308,2.0401813585669744
18,4.711225790837451,10.04572547404778,2.3681227314082367
19,5.2446757591584845,11.152843831860999,2.778249601314084
20,5.835492566428736,12.364114422737728,3.289093442185458
21,6.488354752059635,13.68247639378877,3.9228912617707823
22,7.207766916232549,15.107859858826343,4.706048435419393
23,7.997776210491928,16.635754994593153,5.669493135130138
24,8.861574088902051,18.25534141036805,6.848797106919962
25,9.800950821048652,19.947117511328653,8.283873121663877
26,10.815567490076651,21.680014235376646,10.017977015921613
27,11.902012164606651,23.408071924946974,12.095647533649089
28,13.052618140640684,25.06692917094451,14.559128500758844
29,14.254049243671066,26.570645510805218,17.442775618340196
30,15.485708870384482,27.809771017823802,20.76502783065591
31,16.718115085128414,28.65206003464353,24.517833932512506
32,17.911509580079926,28.947691964914945,28.654109398497294
33,19.01512781856343,28.541054177689748,33.07496843404513
34,19.96772045447606,27.29063190142742,37.62008720845707
35,20.700011599171194,25.09681346115163,42.06620197123531
36,21.139691785369237,21.934139886931558,46.139479882816445
37,21.21913659552547,17.88016834936579,49.54590332047707
38,20.8852397709095,13.129512009560244,52.018696577492854
39,20.109666994774575,7.981854519408025,53.3736613993734
40,18.89688574723792,2.799477162418296,53.555488125917094
41,17.287144888755957,-2.0577090025093936,52.65635577679484
42,15.352659499629421,-6.299511859905973,50.89646715276087
43,13.187442363675881,-9.751733380714786,48.572085422697114
44,10.893524789236814,-12.367147955031989,45.990825592384084
45,8.567457514809934,-14.20331152117639,43.41718524838417
46,6.290380611211302,-15.382139202099484,41.0425309614877
47,4.123128629880224,-16.048742648891142,38.98046836722296
48,2.105941502003087,-16.340994057346144,37.27927890787145
49,0.26124794606816404,-16.373000302380166,35.94103302796803
50,-1.402176878776669,-16.230016085038525,34.939831353555846
51,-2.8849607994028545,-15.970407213522485,34.235676050427166
52,-4.193505440814818,-15.630806331754684,33.78346467669757
53,-5.337235529908805,-15.231968362552221,33.53805099928433
54,-6.326708813173147,-14.784069853328425,33.45666899998735
55,-7.172444917188675,-14.291001596267254,33.499836210343894
56,-7.884300585096533,-13.753618857582069,33.631521462341546
57,-8.471232412345087,-13.172076589401017,33.81905754207273
58,-8.94131683005068,-12.54740993490993,34.03305322903771
59,-9.301926140536604,-11.882501431826967,34.24740881917559
60,-9.559983669665641,-11.182547063451613,34.43944609083432
61,-9.722240009044238,-10.455111598116414,34.59011053486406
62,-9.795527167951455,-9.709854119074457,34.684178630049985
63,-9.786959863063755,-8.95800504422276,34.71039859811771
64,-9.704064381179656,-8.21168097633116,34.66150432704388
65,-9.554826040694806,-7.483127497916441,34.53406435370963
66,-9.34765618641697,-6.783977740553272,34.328155785773355
67,-9.0912883418306,-6.124603717352793,34.04688121310271
68,-8.79461987938282,-5.513618273408113,33.69576976449232
69,-8.46651971878535,-4.957560790682114,33.28211767285229
70,-8.115623825975026,-4.4607736484338085,32.81432739682343
71,-7.750138808220905,-4.025453210672425,32.30129827527658
72,-7.377670248466057,-3.651842091676154,31.751908532756303
73,-7.005087432787066,-3.3385202311885713,31.174611839401354
74,-6.638430712627216,-3.082750693875011,30.577155118173362
75,-6.282862710751996,-2.8808405300593964,29.966410583877998
76,-5.9426604926827356,-2.728485247444051,29.348305557060584
77,-5.621242968158867,-2.621075173309525,28.727828690387504
78,-5.321226188673933,-2.5539514024977796,28.109090262513657
79,-5.044498710056318,-2.522606948854632,27.495416053055678
80,-4.792309533936149,-2.522834610060843,26.889457833302288
81,-4.565362041548618,-2.5508268820932702,26.293307667957613
82,-4.363908525603083,-2.603235297165422,25.70860727903278
83,-4.1878412027593175,-2.6771972264991044,25.136647225333082
84,-4.036776805133297,-2.770337921511967,24.578453401187993
85,-3.910132916771164,-2.8807547417745174,24.03486033579572
86,-3.807195099271499,-3.0069894255627734,23.50657206625074
87,-3.7271745319006264,-3.147993099390144,22.99421209852969
88,-3.669256388649578,-3.303087620180807,22.498364306302022
89,-3.632639511802701,-3.471925863150237,22.019606678326813
90,-3.6165681469374547,-3.654452735283045,21.558539717630058
91,-3.6203566057720136,-3.8508680087000333,21.115811098729054
92,-3.6434077460648155,-4.061591516254019,20.69213795709548
93,-3.6852261230837358,-4.287230812834393,20.288327951489645
94,-3.7454265920588012,-4.528551057564299,19.90530002265472
95,-3.823739038609351,-4.786446592487524,19.54410557759557
96,-3.9200097939971683,-5.061913462655717,19.20595065577882
97,-4.034200160863024,-5.356021923611574,18.892219475124485
98,-4.166382337137879,-5.669887800961037,18.60449960084603
99,-4.316732883520195,-6.004641392067497,18.34460881536491
100,-4.485523734374925,-6.361392424446475,18.114623576464023
101,-4.67311060338208,-6.741189405912019,17.916908714793593
102,-4.879918483635073,-7.144971519850574,17.75414771932084
103,-5.106423787256624,-7.573511043902877,17.629372565986603
104,-5.353132512921249,-8.02734411964207,17.545991533703326
105,-5.6205536735933315,-8.506687604558516,17.507812794130537
106,-5.90916706668985,-9.011339741952717,17.51906072894618
107,-6.219384334216137,-9.540562556218067,17.584380896473284
108,-6.55150215641633,-10.09294431349225,17.708828325584847
109,-6.905646372123922,-10.666241204527143,17.897832367913594
