t,value
0,0.2
1,0.6240000000000001
2,0.9150335999999998
3,0.30321373239705673
4,0.8239731430433209
5,0.5656614700878645
6,0.9581854282490118
7,0.1562578420270518
8,0.5141811824451928
9,0.9742156868513789
10,0.09796598114189214
11,0.34463772595511444
12,0.8808639988340473
13,0.40927619612934135
14,0.9428998465038291
15,0.20997493127085012
16,0.6469532920837424
17,0.8907784467884261
18,0.3794396015499384
19,0.9183142422696933
20,0.2925514593858962
21,0.8071639016886062
22,0.6070363162477859
23,0.9303185853160055
24,0.2528210690133635
25,0.7367200466975841
26,0.7564581160168251
27,0.7184940154434927
28,0.7888154243399773
29,0.6496840375869435
30,0.8876192866775149
31,0.38903002552289667
32,0.9269740925817491
33,0.2640031846295685
34,0.7577914622265565
35,0.7158198918120663
36,0.7933449197630892
37,0.6394001563918285
38,0.8992136259519417
39,0.35345107533178255
40,0.8912413094464976
41,0.37802792735210067
42,0.9169789726265047
43,0.29690129191064396
44,0.8141285676124946
45,0.5901606477379173
46,0.9432971246379688
47,0.20860187122206578
48,0.643839809124402
49,0.8943094263131167
50,0.36862829765042104
51,0.9076917557049171
52,0.3267709860879445
53,0.8579676640823218
54,0.4752506907386394
55,0.9726111395952336
56,0.10389097184892901
57,0.3630807874871348
58,0.9018872040549417
59,0.3450980333459164
60,0.8814209848341189
61,0.40762032607986626
62,0.9417173838009979
63,0.21405443610720748
64,0.6561170245111284
65,0.8799471511653877
66,0.41199663305309353
67,0.9447960888834317
68,0.2034101133246091
69,0.6319343125753272
70,0.9071140149445758
71,0.3286068974592602
72,0.8604351771656918
73,0.4683372839399917
74,0.9710901424056427
75,0.10948890314010189
76,0.38025422459418917
77,0.9190777021625984
78,0.2900581302454541
79,0.8031052041634646
80,0.6166962173151952
81,0.9218897721708665
82,0.2808351785366959
83,0.7876704460285364
84,0.6522582864787974
85,0.8845879153743078
86,0.39815932785737257
87,0.9345510622403977
88,0.23854495979239365
89,0.7084009216051519
90,0.805619317909081
91,0.6107276468310734
92,0.927183614086287
93,0.26330522343909496
94,0.7565047727202547
95,0.7184006761297488
96,0.7889744641976674
97,0.6493256602625171
98,0.8880372040299368
99,0.3877658003256539
100,0.9258735892514901
101,0.26766357531440704
102,0.7644771644808316
103,0.7022021349258988
104,0.8155457568624936
105,0.5866804137716966
106,0.9456973728866331
107,0.20028002202761863
108,0.6246549457365174
109,0.9143984635633611
110,0.3052682622456702
111,0.8271102462135979
112,0.5576956586061096
113,0.9620177228142283
114,0.14250453284166428
115,0.4765682647488489
116,0.9728587197541677
117,0.10297806149455298
118,0.36025696334697044
119,0.8988403464572612
120,0.35461287434762223
121,0.8925640764087049
